76.1669 496.388 30.9238 
76.2119 493.6 31.0081 
76.2074 485.537 31.0796 
76.2554 486.792 31.1646 
76.2671 491.802 31.3733 
76.3307 497.092 31.7795 
76.3178 503.752 31.917 
76.3538 505.125 31.925 
76.316 510.86 32.0415 
76.3511 511.167 32.0144 
76.3274 518.983 32.0099 
76.3538 530.25 32.0229 
76.352 528.242 32.0286 
76.3703 530.785 32.0541 
76.3424 528.833 32.0306 
76.3481 531.364 32.0547 
76.3349 527.758 32.0585 
76.3166 525.529 32.2133 
76.3151 528 32.7209 
76.3034 522.967 33.1735 
76.3118 524.525 33.2336 
76.3217 521.686 33.0481 
76.2953 520.008 32.9804 
76.268 522.835 32.7524 
76.2797 523.85 32.6616 
76.2569 523.455 32.586 
76.2656 524.917 32.5067 
76.2431 525.612 32.4735 
76.247 530.075 32.5885 
76.2266 526.86 32.679 
76.2335 528.233 32.7921 
76.1843 531.642 32.7865 
76.2161 532.802 32.7971 
76.1981 529.533 32.7549 
76.2008 532.545 32.767 
76.2005 541.55 32.7877 
76.1636 540.669 32.7411 
76.1714 542.683 32.7701 
76.1468 545.661 32.774 
76.1879 552.317 32.8719 
76.169 555.19 32.882 
76.1861 549.617 32.705 
76.1693 549.86 32.659 
76.1609 546.4 32.6627 
76.1321 546.091 32.7239 
76.1654 550.45 32.7449 
76.1333 555.777 32.8015 
76.1441 551.975 32.5894 
76.085 545.157 32.4803 
76.0982 540.358 32.4507 
76.1078 538.283 32.4856 
76.0898 540.868 32.4467 
76.052 540.025 32.4428 
76.0469 539.388 32.4166 
76.0514 541.75 32.4168 
76.0127 538.306 32.4077 
76.0217 533.817 32.4323 
75.9938 537.008 32.4168 
76.0229 539.267 32.4045 
75.9995 538.116 32.4245 
75.9992 543.617 32.4151 
75.9713 541.438 32.4045 
75.9842 539.875 32.3777 
75.9341 538.215 32.3976 
75.9551 533 32.3511 
75.932 533.165 32.3613 
75.9503 539.25 32.3723 
75.9257 540.826 32.3549 
75.9569 540.733 32.3802 
